id,snapshot_url
52442,ftp://ee220cpc3.ecn.purdue.edu/NYS/12618.jpg
52443,ftp://ee220cpc3.ecn.purdue.edu/NYS/12619.jpg
52444,ftp://ee220cpc3.ecn.purdue.edu/NYS/12620.jpg
52445,ftp://ee220cpc3.ecn.purdue.edu/NYS/12621.jpg
52446,ftp://ee220cpc3.ecn.purdue.edu/NYS/12622.jpg
52447,ftp://ee220cpc3.ecn.purdue.edu/NYS/12623.jpg
52448,ftp://ee220cpc3.ecn.purdue.edu/NYS/12624.jpg
52449,ftp://ee220cpc3.ecn.purdue.edu/NYS/12625.jpg
52450,ftp://ee220cpc3.ecn.purdue.edu/NYS/12626.jpg
52451,ftp://ee220cpc3.ecn.purdue.edu/NYS/12627.jpg
52452,ftp://ee220cpc3.ecn.purdue.edu/NYS/12628.jpg
52453,ftp://ee220cpc3.ecn.purdue.edu/NYS/12629.jpg
52454,ftp://ee220cpc3.ecn.purdue.edu/NYS/12630.jpg
52455,ftp://ee220cpc3.ecn.purdue.edu/NYS/12631.jpg
52456,ftp://ee220cpc3.ecn.purdue.edu/NYS/12632.jpg
52457,ftp://ee220cpc3.ecn.purdue.edu/NYS/12633.jpg
52458,ftp://ee220cpc3.ecn.purdue.edu/NYS/12634.jpg
52459,ftp://ee220cpc3.ecn.purdue.edu/NYS/12635.jpg
52460,ftp://ee220cpc3.ecn.purdue.edu/NYS/12636.jpg
52461,ftp://ee220cpc3.ecn.purdue.edu/NYS/12637.jpg
52462,ftp://ee220cpc3.ecn.purdue.edu/NYS/12638.jpg
52463,ftp://ee220cpc3.ecn.purdue.edu/NYS/12639.jpg
52464,ftp://ee220cpc3.ecn.purdue.edu/NYS/12640.jpg
52465,ftp://ee220cpc3.ecn.purdue.edu/NYS/12641.jpg
52466,ftp://ee220cpc3.ecn.purdue.edu/NYS/12642.jpg
52467,ftp://ee220cpc3.ecn.purdue.edu/NYS/12643.jpg
52468,ftp://ee220cpc3.ecn.purdue.edu/NYS/12644.jpg
52469,ftp://ee220cpc3.ecn.purdue.edu/NYS/12645.jpg
52470,ftp://ee220cpc3.ecn.purdue.edu/NYS/12646.jpg
52471,ftp://ee220cpc3.ecn.purdue.edu/NYS/12647.jpg
52472,ftp://ee220cpc3.ecn.purdue.edu/NYS/12648.jpg
52473,ftp://ee220cpc3.ecn.purdue.edu/NYS/12649.jpg
52474,ftp://ee220cpc3.ecn.purdue.edu/NYS/12650.jpg
52475,ftp://ee220cpc3.ecn.purdue.edu/NYS/12651.jpg
52476,ftp://ee220cpc3.ecn.purdue.edu/NYS/12652.jpg
52477,ftp://ee220cpc3.ecn.purdue.edu/NYS/12653.jpg
52478,ftp://ee220cpc3.ecn.purdue.edu/NYS/12654.jpg
52479,ftp://ee220cpc3.ecn.purdue.edu/NYS/12655.jpg
52480,ftp://ee220cpc3.ecn.purdue.edu/NYS/12656.jpg
52481,ftp://ee220cpc3.ecn.purdue.edu/NYS/12657.jpg
52482,ftp://ee220cpc3.ecn.purdue.edu/NYS/12658.jpg
52483,ftp://ee220cpc3.ecn.purdue.edu/NYS/12659.jpg
52484,ftp://ee220cpc3.ecn.purdue.edu/NYS/12660.jpg
52485,ftp://ee220cpc3.ecn.purdue.edu/NYS/12661.jpg
52486,ftp://ee220cpc3.ecn.purdue.edu/NYS/12662.jpg
52487,ftp://ee220cpc3.ecn.purdue.edu/NYS/12663.jpg
52488,ftp://ee220cpc3.ecn.purdue.edu/NYS/12664.jpg
52489,ftp://ee220cpc3.ecn.purdue.edu/NYS/12665.jpg
52490,ftp://ee220cpc3.ecn.purdue.edu/NYS/12666.jpg
52491,ftp://ee220cpc3.ecn.purdue.edu/NYS/12667.jpg
52492,ftp://ee220cpc3.ecn.purdue.edu/NYS/12668.jpg
52493,ftp://ee220cpc3.ecn.purdue.edu/NYS/12669.jpg
52494,ftp://ee220cpc3.ecn.purdue.edu/NYS/12670.jpg
52495,ftp://ee220cpc3.ecn.purdue.edu/NYS/12671.jpg
52496,ftp://ee220cpc3.ecn.purdue.edu/NYS/12672.jpg
52497,ftp://ee220cpc3.ecn.purdue.edu/NYS/12673.jpg
52498,ftp://ee220cpc3.ecn.purdue.edu/NYS/12674.jpg
52499,ftp://ee220cpc3.ecn.purdue.edu/NYS/12675.jpg
52500,ftp://ee220cpc3.ecn.purdue.edu/NYS/12676.jpg
52501,ftp://ee220cpc3.ecn.purdue.edu/NYS/12677.jpg
52502,ftp://ee220cpc3.ecn.purdue.edu/NYS/12678.jpg
52503,ftp://ee220cpc3.ecn.purdue.edu/NYS/12679.jpg
52504,ftp://ee220cpc3.ecn.purdue.edu/NYS/12680.jpg
52505,ftp://ee220cpc3.ecn.purdue.edu/NYS/12681.jpg
52506,ftp://ee220cpc3.ecn.purdue.edu/NYS/12682.jpg
52507,ftp://ee220cpc3.ecn.purdue.edu/NYS/12683.jpg
52508,ftp://ee220cpc3.ecn.purdue.edu/NYS/12684.jpg
52509,ftp://ee220cpc3.ecn.purdue.edu/NYS/12685.jpg
52510,ftp://ee220cpc3.ecn.purdue.edu/NYS/12686.jpg
52511,ftp://ee220cpc3.ecn.purdue.edu/NYS/12687.jpg
52512,ftp://ee220cpc3.ecn.purdue.edu/NYS/12688.jpg
52513,ftp://ee220cpc3.ecn.purdue.edu/NYS/12689.jpg
52514,ftp://ee220cpc3.ecn.purdue.edu/NYS/12690.jpg
52515,ftp://ee220cpc3.ecn.purdue.edu/NYS/12691.jpg
52516,ftp://ee220cpc3.ecn.purdue.edu/NYS/12692.jpg
52517,ftp://ee220cpc3.ecn.purdue.edu/NYS/12702.jpg
52518,ftp://ee220cpc3.ecn.purdue.edu/NYS/12703.jpg
52519,ftp://ee220cpc3.ecn.purdue.edu/NYS/12704.jpg
52520,ftp://ee220cpc3.ecn.purdue.edu/NYS/12705.jpg
52521,ftp://ee220cpc3.ecn.purdue.edu/NYS/12706.jpg
52522,ftp://ee220cpc3.ecn.purdue.edu/NYS/12707.jpg
52523,ftp://ee220cpc3.ecn.purdue.edu/NYS/12708.jpg
52524,ftp://ee220cpc3.ecn.purdue.edu/NYS/12709.jpg
52525,ftp://ee220cpc3.ecn.purdue.edu/NYS/12710.jpg
52526,ftp://ee220cpc3.ecn.purdue.edu/NYS/12711.jpg
52527,ftp://ee220cpc3.ecn.purdue.edu/NYS/12712.jpg
52528,ftp://ee220cpc3.ecn.purdue.edu/NYS/12713.jpg
52529,ftp://ee220cpc3.ecn.purdue.edu/NYS/12714.jpg
52530,ftp://ee220cpc3.ecn.purdue.edu/NYS/12715.jpg
52531,ftp://ee220cpc3.ecn.purdue.edu/NYS/12716.jpg
52532,ftp://ee220cpc3.ecn.purdue.edu/NYS/12717.jpg
52533,ftp://ee220cpc3.ecn.purdue.edu/NYS/12718.jpg
52534,ftp://ee220cpc3.ecn.purdue.edu/NYS/12719.jpg
52535,ftp://ee220cpc3.ecn.purdue.edu/NYS/12720.jpg
52536,ftp://ee220cpc3.ecn.purdue.edu/NYS/12721.jpg
52537,ftp://ee220cpc3.ecn.purdue.edu/NYS/12722.jpg
52538,ftp://ee220cpc3.ecn.purdue.edu/NYS/12723.jpg
52539,ftp://ee220cpc3.ecn.purdue.edu/NYS/12724.jpg
52540,ftp://ee220cpc3.ecn.purdue.edu/NYS/12725.jpg
52541,ftp://ee220cpc3.ecn.purdue.edu/NYS/12726.jpg
52542,ftp://ee220cpc3.ecn.purdue.edu/NYS/12727.jpg
52543,ftp://ee220cpc3.ecn.purdue.edu/NYS/12728.jpg
52544,ftp://ee220cpc3.ecn.purdue.edu/NYS/12729.jpg
52545,ftp://ee220cpc3.ecn.purdue.edu/NYS/12730.jpg
52546,ftp://ee220cpc3.ecn.purdue.edu/NYS/12731.jpg
52547,ftp://ee220cpc3.ecn.purdue.edu/NYS/12732.jpg
52548,ftp://ee220cpc3.ecn.purdue.edu/NYS/12733.jpg
52549,ftp://ee220cpc3.ecn.purdue.edu/NYS/12734.jpg
52550,ftp://ee220cpc3.ecn.purdue.edu/NYS/12735.jpg
52551,ftp://ee220cpc3.ecn.purdue.edu/NYS/12737.jpg
52552,ftp://ee220cpc3.ecn.purdue.edu/NYS/12738.jpg
52553,ftp://ee220cpc3.ecn.purdue.edu/NYS/12739.jpg
52554,ftp://ee220cpc3.ecn.purdue.edu/NYS/12740.jpg
52555,ftp://ee220cpc3.ecn.purdue.edu/NYS/12741.jpg
52556,ftp://ee220cpc3.ecn.purdue.edu/NYS/12742.jpg
52557,ftp://ee220cpc3.ecn.purdue.edu/NYS/12743.jpg
52558,ftp://ee220cpc3.ecn.purdue.edu/NYS/12744.jpg
52559,ftp://ee220cpc3.ecn.purdue.edu/NYS/12745.jpg
52560,ftp://ee220cpc3.ecn.purdue.edu/NYS/12746.jpg
